totalNum: 4039
attackerNum: 201
targetNum: 403
targetNode 1: 2049
targetNode 2: 1
targetNode 3: 1028
targetNode 4: 2055
targetNode 5: 3079
targetNode 6: 2056
targetNode 7: 3081
targetNode 8: 2058
targetNode 9: 1048
targetNode 10: 26
targetNode 11: 1050
targetNode 12: 2075
targetNode 13: 3101
targetNode 14: 1058
targetNode 15: 35
targetNode 16: 2085
targetNode 17: 39
targetNode 18: 3112
targetNode 19: 40
targetNode 20: 41
targetNode 21: 2090
targetNode 22: 1071
targetNode 23: 2101
targetNode 24: 1078
targetNode 25: 1082
targetNode 26: 62
targetNode 27: 68
targetNode 28: 3142
targetNode 29: 70
targetNode 30: 72
targetNode 31: 2121
targetNode 32: 77
targetNode 33: 1106
targetNode 34: 2130
targetNode 35: 1107
targetNode 36: 85
targetNode 37: 1114
targetNode 38: 92
targetNode 39: 2143
targetNode 40: 2145
targetNode 41: 97
targetNode 42: 103
targetNode 43: 1128
targetNode 44: 3176
targetNode 45: 1136
targetNode 46: 1137
targetNode 47: 3186
targetNode 48: 1143
targetNode 49: 3193
targetNode 50: 130
targetNode 51: 1155
targetNode 52: 131
targetNode 53: 2180
targetNode 54: 1157
targetNode 55: 3207
targetNode 56: 2187
targetNode 57: 2190
targetNode 58: 3216
targetNode 59: 1170
targetNode 60: 1175
targetNode 61: 3232
targetNode 62: 1188
targetNode 63: 2219
targetNode 64: 3246
targetNode 65: 2223
targetNode 66: 177
targetNode 67: 1203
targetNode 68: 182
targetNode 69: 183
targetNode 70: 2231
targetNode 71: 1212
targetNode 72: 2238
targetNode 73: 1215
targetNode 74: 3264
targetNode 75: 3266
targetNode 76: 3274
targetNode 77: 2253
targetNode 78: 1229
targetNode 79: 3281
targetNode 80: 1234
targetNode 81: 214
targetNode 82: 1240
targetNode 83: 2266
targetNode 84: 218
targetNode 85: 219
targetNode 86: 2268
targetNode 87: 224
targetNode 88: 3305
targetNode 89: 233
targetNode 90: 3310
targetNode 91: 1262
targetNode 92: 3311
targetNode 93: 243
targetNode 94: 3316
targetNode 95: 245
targetNode 96: 2295
targetNode 97: 3325
targetNode 98: 254
targetNode 99: 1280
targetNode 100: 261
targetNode 101: 1289
targetNode 102: 2314
targetNode 103: 268
targetNode 104: 273
targetNode 105: 275
targetNode 106: 1304
targetNode 107: 280
targetNode 108: 2329
targetNode 109: 282
targetNode 110: 1308
targetNode 111: 3357
targetNode 112: 1313
targetNode 113: 3362
targetNode 114: 1317
targetNode 115: 294
targetNode 116: 3367
targetNode 117: 301
targetNode 118: 1325
targetNode 119: 1334
targetNode 120: 3383
targetNode 121: 3387
targetNode 122: 2365
targetNode 123: 3390
targetNode 124: 322
targetNode 125: 2373
targetNode 126: 1349
targetNode 127: 1351
targetNode 128: 1352
targetNode 129: 3401
targetNode 130: 3409
targetNode 131: 339
targetNode 132: 343
targetNode 133: 3420
targetNode 134: 351
targetNode 135: 352
targetNode 136: 2409
